rebel_type			Brigantes	//Britons
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Allobroges		//gauls
category			peasant_revolt 
chance				0
description			Allobroges
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Seduni		//gauls
category			peasant_revolt 
chance				0
description			Seduni
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Tectosages		//gauls
category			peasant_revolt 
chance				0
description			Tectosages
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb cavalry slave
unit				barbarian rebel general

rebel_type 			Treveri		//germans
category			peasant_revolt 
chance				0
description			Treveri
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barbarian rebel general
					
rebel_type 			Boii		//gauls
category			peasant_revolt 
chance				0
description			Boii
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Roxolani	//Scythians
category			peasant_revolt 
chance				0
description			Roxolani
unit				barb horse archers slave
unit				barb horse archers slave
unit				barb horse archers slave
unit				barb horse archers slave
unit				merc sarmatian cavalry
unit				barb archer slave
unit				barb archer slave
unit				barbarian rebel general

rebel_type 			Iazyges	//Scythians
category			peasant_revolt 
chance				0
description			Iazyges
unit				barb horse archers slave
unit				barb horse archers slave
unit				barb horse archers slave
unit				barb cavalry slave
unit				barb archer slave
unit				barb archer slave
unit				barb archer slave
unit				barbarian rebel general

rebel_type 			Pannonian		// dacia
category			peasant_revolt 
chance				0
description			Pannonian
unit				barb cavalry slave
unit				barb archer slave
unit				barb archer slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barbarian rebel general

rebel_type 			Senones		//gauls
category			peasant_revolt 
chance				0
description			Senones
unit				barb cavalry slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb druids slave
unit				barbarian rebel general

rebel_type 			Carpi		//dacia
category			peasant_revolt 
chance				0
description			Carpi
unit				barb cavalry slave
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barb infantry slave
unit				barb infantry slave
unit				merc bastarnae	
unit				barbarian rebel general

rebel_type 			Helvetii	//gauls
category			peasant_revolt 
chance				0
description			Helvetii
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Troglodytae	//thrace
category			peasant_revolt 
chance				0
description			Troglodytae
unit				barb horse archers slave
unit				greek peltast
unit				greek peltast
unit				greek peltast
unit				greek peasant
unit				merc thracian
unit				merc thracian
;unit				barbarian rebel general

rebel_type 			Scordisci	//dacia
category			peasant_revolt 
chance				0
description			Scordisci
unit				barb cavalry slave
unit				barb archer slave
unit				barb archer slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Bosphorans	//greek_cities
category			peasant_revolt 
chance				0
description			Bosphorans
unit				barb horse archers slave
unit				barb horse archers slave
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Chersonian	//greek_cities
category			peasant_revolt 
chance				0
description			Chersonian
unit				barb horse archers slave
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Byzantine	//greek_cities
category			peasant_revolt 
chance				0
description			Byzantine
unit				barb horse archers slave
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Pictones	//gauls
category			peasant_revolt 
chance				0
description			Pictones
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Aedui		//gauls
category			peasant_revolt 
chance				0
description			Aedui
unit				barb cavalry slave
unit				barb noble cavalry slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb druids slave
unit				barbarian rebel general

rebel_type 			Colchians	//Armenia
category			peasant_revolt 
chance				0
description			Colchians
unit				east horse archer
unit				east archer
unit				east peasant
unit				east infantry
unit				eastern rebel general

rebel_type 			Medes		//Parthians
category			peasant_revolt 
chance				0
description			Medes
unit				east horse archer
unit				east horse archer
unit				east archer
unit				east peasant
unit				east infantry
unit				eastern rebel general

rebel_type 			Insubres	//gauls
category			peasant_revolt 
chance				0
description			Insubres
unit				barb cavalry slave
unit				barb noble cavalry slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Vocontii	//gauls
category			peasant_revolt 
chance				0
description			Vocontii
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barbarian rebel general

rebel_type 			Breuci		//illyria
category			peasant_revolt 
chance				0
description			Breuci
unit				barb cavalry slave
unit				barb archer slave
unit				barb archer slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barbarian rebel general

rebel_type 			Odrysae		//thrace
category			peasant_revolt 
chance				3
description			Odrysae
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek peltast
unit				merc thracian
unit				merc thracian
unit				merc bastarnae	
unit				barbarian rebel general

rebel_type 			Iberians	//Spain
category			peasant_revolt 
chance				3
description			Iberians
unit				merc balearic slingers
unit				carthaginian peltast
unit				carthaginian peasant
unit				carthaginian infantry
unit				carthaginian infantry
unit				barb naked fanatics slave
unit				merc spanish infantry
unit				barbarian rebel general

rebel_type 			Delmatae		//illyria
category			peasant_revolt 
chance				0
description			Delmatae
unit				greek peasant
unit				greek peltast
unit				greek peltast
unit				greek peltast
unit				merc illyrian
unit				merc illyrian
unit				greek hoplite militia
unit				generic rebel general

rebel_type 			Volcae		//gauls
category			peasant_revolt 
chance				0
description			Volcae
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barbarian rebel general

rebel_type 			Ligurians	//gauls
category			peasant_revolt 
chance				0
description			Ligurians
unit				barb cavalry slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Paphlagonians	//Pontus
category			peasant_revolt 
chance				0
description			Paphlagonians
unit				east heavy cavalry
unit				east peasant
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Paionians	//Macedon
category			peasant_revolt 
chance				0
description			Paionians
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				merc illyrian
unit				merc illyrian
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Etruscans	//romans
category			peasant_revolt 
chance				0
description			Etruscans
unit				roman light cavalry
unit				roman peasant
unit				roman velite
unit				roman city militia
unit				roman hastati
unit				roman hastati
unit				greek hoplite militia
unit				generic rebel general

rebel_type 			Umbrians	//romans
category			peasant_revolt 
chance				0
description			Umbrians
unit				roman light cavalry
unit				roman peasant
unit				roman velite
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				roman hastati
unit				generic rebel general

rebel_type 			Beronicensis	//carthage
category			peasant_revolt 
chance				0
description			Beronicensis
unit				carthaginian cavalry
unit				merc balearic slingers
unit				carthaginian peasant
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian general's cavalry early

rebel_type 			Latins		//Romans
category			peasant_revolt 
chance				0
description			Latins
unit				roman light cavalry
unit				roman peasant
unit				roman velite
unit				roman city militia
unit				roman hastati
unit				roman hastati
unit				roman hastati
unit				generic rebel general

rebel_type 			Edones		//Macedon
category			peasant_revolt 
chance				0
description			Edones
unit				greek cavalry
unit				greek medium cavalry
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Sithones	//Macedon
category			peasant_revolt 
chance				0
description			Sithones
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				merc thracian
unit				greek general's guard cavalry early

rebel_type 			Bithynians	//Macedon
category			peasant_revolt 
chance				0
description			Bithynians
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				merc thracian
unit				greek general's guard cavalry early

rebel_type 			Galatians	//Gauls
category			peasant_revolt 
chance				0
description			Galatians
unit				barb cavalry slave
unit				barb noble cavalry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Cappadocians	//Pontus
category			peasant_revolt 
chance				0
description			Cappadocians
unit				east heavy cavalry
unit				east peasant
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Epirots		//Macedon
category			peasant_revolt 
chance				0
description			Epirots
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				merc illyrian
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Calabrians	//romans_brutii
category			peasant_revolt 
chance				0
description			Calabrians
unit				roman light cavalry
unit				roman peasant
unit				roman velite
unit				roman hastati
unit				merc samnite
unit				greek hoplite militia
unit				greek hoplite
unit				generic rebel general

rebel_type 			Campanians 	//romans_scipii
category			peasant_revolt 
chance				0
description			Campanians
unit				roman light cavalry
unit				roman peasant
unit				roman velite
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				merc samnite
unit				generic rebel general

rebel_type 			Syrians		//Seleucid
category			peasant_revolt 
chance				0
description			Syrians
unit				east horse archer
unit				east peasant
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Lesbians	//Macedon
category			peasant_revolt 
chance				0
description			Lesbians
unit				greek cavalry
unit				greek medium cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Cilicians	//Seleucid
category			peasant_revolt 
chance				6
description			Cilicians
unit				merc cilician pirate
unit				generic rebel general

rebel_type 			Thessalians	//Macedon
category			peasant_revolt 
chance				0
description			Thessalians
unit				greek cavalry
unit				greek cavalry
unit				greek medium cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Lucanians	//romans_brutii
category			peasant_revolt 
chance				3
description			Lucanians
unit				roman peasant
unit				roman velite
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				merc samnite
unit				merc samnite
unit				generic rebel general

rebel_type 			Ionians		//seleucids
category			peasant_revolt 
chance				0
description			Ionians
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				generic rebel general

rebel_type 			Aetolians	//greek_cities
category			peasant_revolt 
chance				0
description			Aetolians
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek peltast
unit				greek heavy peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Athenians	//greek_cities
category			peasant_revolt 
chance				0					
description			Athenians
unit				greek cavalry
unit				greek peasant
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Elamites	//Parthia
category			peasant_revolt 
chance				0
description			Elamites
unit				east horse archer
unit				east heavy cavalry
unit				east peasant
unit				east archer
unit				east infantry
unit				eastern rebel general

rebel_type 			Achaeans	//greek_cities
category			peasant_revolt 
chance				0
description			Achaeans
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Lycians		//Macedon
category			peasant_revolt 
chance				0
description			Lycians
unit				greek cavalry
unit				greek medium cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				merc cilician pirate
unit				greek general's guard cavalry early

rebel_type 			Sicani		//Carthage
category			peasant_revolt 
chance				0
description			Sicani
unit				carthaginian cavalry
unit				carthaginian peasant
unit				carthaginian peltast
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian infantry
unit				carthaginian infantry
unit				carthaginian general's cavalry early

rebel_type 			Moors		//numidia
category			peasant_revolt 
chance				0
description			Moors
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian peasant
unit				carthaginian peasant
unit				numidian javelinmen
unit				numidian javelinmen
unit				numidian javelinmen
unit				carthaginian general's cavalry early

rebel_type 			Palmyrans	//armenia
category			peasant_revolt 
chance				0
description			Palmyrans
unit				east horse archer
unit				merc bedouin archers
unit				merc arab cavalry
unit				merc bedouin
unit				east peasant
unit				east archer
unit				east infantry
unit				eastern rebel general
					
rebel_type 			Cypriots	//greek_cities
category			peasant_revolt 
chance				0
description			Cypriots
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				merc cilician pirate
unit				greek general's guard cavalry early

rebel_type 			Phoenicians	//seleucids
category			peasant_revolt 
chance				0
description			Phoenicians
unit				carthaginian cavalry
unit				carthaginian peasant
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian city militia
unit				eastern rebel general

rebel_type 			Syracusans	//greek_cities
category			peasant_revolt 
chance				0
description			Syracusans
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Helots		//greek_cities
category			peasant_revolt 
chance				0
description			Helots
unit				greek peasant
unit				greek peasant
unit				greek peltast
unit				greek peltast
unit				greek peltast
unit				greek peltast
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Poeni		//Carthage
category			peasant_revolt 
chance				0
description			Poeni
unit				carthaginian cavalry
unit				carthaginian peasant
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian infantry
unit				carthaginian general's cavalry early

rebel_type 			Rhodians	//greek_cities
category			peasant_revolt 
chance				0
description			Rhodians
unit				merc rhodian slingers
unit				merc rhodian slingers
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek general's guard cavalry early

rebel_type 			Nabataeans	//parthia
category			peasant_revolt 
chance				3
description			Nabataeans
unit				merc bedouin archers
unit				merc arab cavalry
unit				merc bedouin
unit				east peasant
unit				east archer
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Cretans		//greek_cities
category			peasant_revolt 
chance				0
description			Cretans
unit				merc cretan archers
unit				merc cretan archers
unit				greek peasant
unit				greek peltast
unit				merc peltast
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Judaeans	//parthia
category			peasant_revolt 
chance				6
description			Judaeans
unit				east archer
unit				rebel judaean zealots
unit				rebel judaean zealots
unit				rebel judaean zealots
unit				rebel judaean zealots
unit				rebel judaean zealots
unit				rebel judaean zealots
unit				eastern rebel general

rebel_type 			Gaetuli		//Numidia
category			peasant_revolt 
chance				3
description			Gaetuli
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian peasant
unit				numidian javelinmen
unit				numidian javelinmen
unit				numidian javelinmen
unit				carthaginian general's cavalry early

rebel_type 			Libyans		//egypt
category			peasant_revolt 
chance				0					
description			Libyans
unit				egyptian chariot
unit				egyptian peasant
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian peltast
unit				egyptian archer
unit				egyptian archer
unit				generic rebel general

rebel_type 			Illyrians		//macedon
category			peasant_revolt 
chance				3
description			Illyrians
unit				greek cavalry
unit				greek peasant
unit				greek peltast
unit				greek peltast
unit				merc illyrian
unit				merc illyrian
unit				generic rebel general

rebel_type 			Massaliote		//greek_cities
category			peasant_revolt 
chance				0
description			Massaliote
unit				barb cavalry slave
unit				barb archer slave
unit				barb archer slave
unit				greek peasant
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek general's guard cavalry early

rebel_type 			Tarantine		//greek_cities
category			peasant_revolt
chance				0
description			Tarantine
unit				greek cavalry
unit				greek cavalry
unit				greek medium cavalry
unit				greek peasant
unit				greek hoplite militia
unit				greek hoplite militia
unit				merc samnite
unit				greek general's guard cavalry early

rebel_type 			Lugians		//Germans
category			peasant_revolt 
chance				0
description			Lugians
unit				barb cavalry slave
unit				barb archer slave
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Mamertine		//Romans
category			peasant_revolt 
chance				0
description			Mamertine
unit				greek cavalry
unit				greek peasant
unit				roman velite
unit				roman velite
unit				roman hastati
unit				roman hastati
unit				greek hoplite militia
unit				generic rebel general

rebel_type 			SardoPunic		//Carthage
category			peasant_revolt
chance				0
description			SardoPunic
unit				carthaginian cavalry
unit				merc balearic slingers
unit				carthaginian peltast
unit				carthaginian peltast
unit				carthaginian peasant
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian general's cavalry early

rebel_type 			Massylian		//numidia
category			peasant_revolt
chance				0
description			Massylian
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian peasant
unit				carthaginian peasant
unit				numidian javelinmen
unit				numidian javelinmen
unit				carthaginian general's cavalry early

rebel_type 			Musulamian		//numidia
category			peasant_revolt
chance				0
description			Musulamian
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian peasant
unit				carthaginian peasant
unit				numidian javelinmen
unit				numidian javelinmen
unit				carthaginian general's cavalry early

rebel_type 			Massaesylian		//numidia
category			peasant_revolt
chance				0
description			Massaesylian
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian peasant
unit				carthaginian peasant
unit				numidian javelinmen
unit				numidian javelinmen
unit				carthaginian general's cavalry early

rebel_type 			Mauretanian		//numidia
category			peasant_revolt
chance				0
description			Mauretanian
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian peasant
unit				carthaginian peasant
unit				numidian javelinmen
unit				numidian javelinmen
unit				carthaginian general's cavalry early

rebel_type 			Nigritae		//numidia
category			peasant_revolt
chance				0
description			Nigritae
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian javelinmen
unit				numidian javelinmen
unit				numidian javelinmen
unit				numidian javelinmen
unit				carthaginian general's cavalry early

rebel_type 			Troglodytian		//numidia
category			peasant_revolt
chance				0
description			Troglodytian
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				numidian cavalry
unit				carthaginian general's cavalry early

rebel_type 			Liby_Phoenician		//Carthage
category			peasant_revolt
chance				0
description			Liby_Phoenician
unit				carthaginian cavalry
unit				merc libyan infantry
unit				merc libyan infantry
unit				merc libyan infantry
unit				carthaginian peasant
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian general's cavalry early

rebel_type 			Garamantian		//numidia
category			peasant_revolt
chance				0
description			Garamantian
